CounterpartyID,EAD,PD,LGD,Industry,Country,Rating,Pillar_I_Capital_Requirement,Stressed_PD,Stressed_LGD,Capital_Requirement_CCAR,Expected_Credit_Loss_IFRS9,Stressed_PD_Internal,Stressed_LGD_Internal,Capital_Requirement_Internal_Stress_Test,Perc_Increase_Baseline_to_Severe
1,375418737.55155903,0.12429640056537251,0.47465581991803163,Energy and Utilities,US,BBB,276861980.04285586,0.18644460084805878,0.569586983901638,498351564.07714057,22148958.40342847,0.24859280113074503,0.7119837298770475,830585940.1285677,200.00000000000006
2,429257294.83213645,0.10757149177446068,0.4261506210394692,Banking and Financial Services,Switzerland,BBB,245973326.4348384,0.16135723766169102,0.511380745247363,442751987.582709,19677866.114787072,0.21514298354892136,0.6392259315592038,737919979.3045151,199.99999999999994
3,683373562.2771205,0.158606092593317,0.621401077673454,Retail,South Korea,BBB,841899117.5901062,0.2379091388899755,0.7456812932081448,1515418411.6621914,67351929.4072085,0.317212185186634,0.932101616510181,2525697352.770319,200.00000000000006
4,601346841.7352886,0.17854485754125268,0.324394463017971,Banking and Financial Services,China,C,435367319.86141735,0.267817286311879,0.3892733556215652,783661175.7505511,34829385.58891339,0.35708971508250537,0.4865916945269565,1306101959.584252,200.00000000000006
5,71412496.5183142,0.01038226488960175,0.24456772368603485,Energy and Utilities,Germany,CCC,2266603.084318557,0.015573397334402626,0.2934812684232418,4079885.5517734024,181328.24674548453,0.0207645297792035,0.3668515855290523,6799809.25295567,199.99999999999994
6,158320381.21832955,0.19498912929394957,0.41961597507143156,Real Estate and Construction,Germany,B,161923265.50174764,0.2924836939409243,0.5035391700857178,291461877.9031457,12953861.24013981,0.38997825858789914,0.6294239626071474,485769796.5052429,199.99999999999994
7,71485131.2354238,0.07538294002485382,0.4043812068331806,Real Estate and Construction,China,AA,27238912.669606,0.11307441003728073,0.48525744819981664,49030042.805290796,2179113.01356848,0.15076588004970765,0.6065718102497708,81716738.008818,200.0
8,35555535.628512524,0.08583419491771654,0.2723144618468986,Banking and Financial Services,US,B,10388390.887656191,0.12875129237657482,0.32677735421627835,18699103.597781148,831071.2710124953,0.1716683898354331,0.4084716927703479,31165172.662968572,199.99999999999994
9,776228913.0270954,0.07985980808391967,0.7127373775078298,Energy and Utilities,South Korea,D,552277849.7236967,0.1197897121258795,0.8552848530093958,994100129.5026543,44182227.97789574,0.15971961616783933,1.0691060662617446,1656833549.1710901,200.0
10,851107948.7553228,0.17042904283248858,0.600888672864925,Technology,South Korea,CC,1089512661.9138515,0.25564356424873286,0.72106640743791,1961122791.4449327,87161012.95310812,0.34085808566497716,0.9013330092973875,3268537985.7415547,200.00000000000006
11,416761654.39389026,0.1499906013986956,0.21547469809374115,Manufacturing,Germany,CC,168367434.2409906,0.22498590209804342,0.25856963771248936,303061381.6337831,13469394.73927925,0.2999812027973912,0.3232120471406117,505102302.7229718,199.99999999999994
12,968871943.7378651,0.04399306959300824,0.524095734264671,Manufacturing,Switzerland,D,279235919.84999716,0.06598960438951236,0.6289148811176052,502624655.72999483,22338873.587999772,0.08798613918601648,0.7861436013970066,837707759.5499915,200.0
13,863734104.5340947,0.08753777559400872,0.29228191217010313,Real Estate and Construction,UK,B,276240612.0792103,0.13130666339101307,0.35073829460412376,497233101.74257857,22099248.966336824,0.17507555118801743,0.4384228682551547,828721836.2376308,200.0
14,860524658.8312045,0.0105180789967835,0.5067320820479977,Banking and Financial Services,France,CC,57330821.141974196,0.015777118495175248,0.6080784984575972,103195478.05555354,4586465.691357936,0.021036157993567,0.7600981230719965,171992463.42592257,199.99999999999997
15,367817215.5330039,0.1625915310349283,0.6627515356237699,Manufacturing,UK,D,495439613.9944876,0.24388729655239244,0.7953018427485238,891791305.1900777,39635169.119559005,0.3251830620698566,0.9941273034356548,1486318841.9834626,199.99999999999997
16,954392815.9412452,0.05489329048169102,0.4478321696390365,Manufacturing,South Korea,AA,293272760.23446375,0.08233993572253653,0.5373986035668438,527890968.42203474,23461820.8187571,0.10978658096338204,0.6717482544585547,879818280.7033911,199.99999999999994
17,749180915.78823,0.025773171155750257,0.5581189332115398,Real Estate and Construction,Germany,C,134707362.25770983,0.038659756733625386,0.6697427198538478,242473252.0638777,10776588.980616786,0.051546342311500515,0.8371783998173097,404122086.7731294,199.99999999999994
18,354338736.67861676,0.13554610405006035,0.5278633574355183,Real Estate and Construction,China,CC,316910917.3138556,0.20331915607509052,0.6334360289226219,570439651.16494,25352873.38510845,0.2710922081001207,0.7917950361532774,950732751.941567,200.00000000000006
19,888944061.0510157,0.051628165172598404,0.5465635158548114,Services,China,CC,313553588.137604,0.0774422477588976,0.6558762190257738,564396458.6476872,25084287.051008318,0.10325633034519681,0.8198452737822172,940660764.412812,200.0
20,5108187.665163723,0.11431145989916525,0.4868702807063947,Retail,South Korea,CC,3553692.8924975013,0.17146718984874787,0.5842443368476736,6396647.206495503,284295.4313998001,0.2286229197983305,0.7303054210595921,10661078.677492505,200.00000000000006
21,572019450.1926491,0.04062893181133854,0.3002191789150672,Energy and Utilities,US,CCC,87215695.08958016,0.06094339771700781,0.36026301469808064,156988251.16124433,6977255.607166413,0.08125786362267708,0.45032876837260083,261647085.2687405,200.00000000000006
22,520652620.20919025,0.1601205870252733,0.34496856170777523,Services,South Korea,CCC,359488302.2004175,0.24018088053790992,0.4139622740493303,647078943.9607514,28759064.1760334,0.3202411740505466,0.5174528425616629,1078464906.6012526,200.0
23,82708150.58973163,0.1965749697920257,0.7364296079701698,Technology,Switzerland,BBB,149664149.24543032,0.29486245468803857,0.8837155295642037,269395468.6417746,11973131.939634426,0.3931499395840514,1.1046444119552548,448992447.73629105,200.00000000000006
24,862494133.0131841,0.030423491055510156,0.6429238924158178,Retail,Switzerland,AA,210879700.05840924,0.04563523658326524,0.7715086708989813,379583460.1051367,16870376.00467274,0.06084698211102031,0.9643858386237267,632639100.1752278,200.00000000000006
25,282429456.44488764,0.169868396065746,0.7897195031339219,Services,South Korea,A,473593194.42885995,0.254802594098619,0.9476634037607062,852467749.9719478,37887455.554308794,0.339736792131492,1.1845792547008829,1420779583.2865796,199.99999999999994
26,376973729.3735956,0.10306001489476646,0.23247804574663383,Manufacturing,US,CCC,112899819.12838249,0.1545900223421497,0.2789736548959606,203219674.43108845,9031985.530270599,0.20612002978953292,0.3487170686199508,338699457.3851475,200.00000000000006
27,475678261.01497966,0.019768064406552266,0.38994326271218815,Real Estate and Construction,Switzerland,BBB,45834118.76202227,0.0296520966098284,0.46793191525462574,82501413.77164006,3666729.5009617815,0.03953612881310453,0.5849148940682822,137502356.2860668,199.99999999999997
28,817117895.6419264,0.1090484430579535,0.775572614318319,Banking and Financial Services,Germany,BBB,863846683.016246,0.16357266458693026,0.9306871371819828,1554924029.4292428,69107734.64129968,0.218096886115907,1.1633589214774784,2591540049.0487375,199.99999999999997
29,595343092.742186,0.10156535465245022,0.46362728654400276,Services,Switzerland,C,350422440.4242322,0.15234803197867533,0.5563527438528033,630760392.7636179,28033795.233938575,0.20313070930490043,0.6954409298160041,1051267321.2726965,199.99999999999994
30,564393246.3239293,0.17936847055691127,0.5626024677997039,Services,South Korea,CCC,711933713.0117921,0.2690527058353669,0.6751229613596447,1281480683.4212255,56954697.04094336,0.35873694111382254,0.8439037016995559,2135801139.035376,199.99999999999994
31,363015198.34966356,0.07467443956871873,0.541844863557943,Energy and Utilities,UK,A,183603837.33216944,0.11201165935307811,0.6502138362695317,330486907.197905,14688306.986573556,0.14934887913743747,0.8127672953369145,550811511.9965082,199.99999999999997
32,280404987.1199279,0.15392351164954873,0.2844136419212875,Retail,US,D,153444431.64546338,0.23088526747432309,0.341296370305545,276199976.9618341,12275554.53163707,0.30784702329909747,0.42662046288193123,460333294.9363901,199.99999999999994
33,478642111.7052406,0.035138141908491294,0.6386625791169467,Real Estate and Construction,Germany,A,134267586.31290886,0.05270721286273694,0.766395094940336,241681655.36323595,10741406.90503271,0.07027628381698259,0.95799386867542,402802758.9387266,200.00000000000006
34,256477798.4995542,0.08381561798599894,0.23498755908614471,Energy and Utilities,Switzerland,CCC,63143639.7139897,0.1257234269789984,0.28198507090337366,113658551.48518144,5051491.177119176,0.1676312359719979,0.35248133862921704,189430919.14196908,199.99999999999997
35,340171926.7660778,0.11247817892123331,0.5227777348951443,Real Estate and Construction,US,A,250030990.81710073,0.16871726838184997,0.6273332818741731,450055783.47078127,20002479.26536806,0.22495635784246662,0.7841666023427165,750092972.4513022,199.99999999999997
36,440935958.6118799,0.044489238005987565,0.5315826705308795,Services,US,C,130350083.06787987,0.06673385700898135,0.6378992046370554,234630149.52218378,10428006.64543039,0.08897847601197513,0.7973740057963192,391050249.2036396,200.00000000000006
37,843657363.5292368,0.047576305659009284,0.3211090702414738,Services,South Korea,C,161108852.05650535,0.07136445848851393,0.3853308842897685,289995933.70170957,12888708.164520428,0.09515261131801857,0.48166360536221065,483326556.169516,199.99999999999994
38,930580106.1297922,0.05661476752596345,0.6502545353210776,Energy and Utilities,South Korea,D,428229809.0987358,0.08492215128894517,0.7803054423852931,770813656.3777245,34258384.727898866,0.1132295350519269,0.9753818029816164,1284689427.2962077,200.00000000000006
39,829911628.186429,0.15113132485817612,0.7377060897501522,Energy and Utilities,South Korea,A,1156590766.291732,0.22669698728726417,0.8852473077001826,2081863379.3251178,92527261.30333857,0.30226264971635225,1.1065591346252281,3469772298.8751965,200.00000000000006
40,526174015.1782134,0.1892632721231681,0.7874407997345108,Banking and Financial Services,Germany,A,980220243.4282604,0.28389490818475216,0.9449289596814129,1764396438.1708694,78417619.47426084,0.3785265442463362,1.1811611996017661,2940660730.284782,200.00000000000009
41,711845696.0409812,0.03415950602260175,0.21609016168377868,Services,Switzerland,AAA,65681407.799796775,0.051239259033902626,0.2593081940205344,118226534.03963418,5254512.623983742,0.0683190120452035,0.324135242525668,197044223.3993903,199.99999999999997
42,335873400.6014761,0.11410858863379096,0.3858349440889447,Retail,Switzerland,B,184844067.32093248,0.17116288295068643,0.46300193290673364,332719321.1776784,14787525.385674598,0.22821717726758192,0.578752416133417,554532201.9627974,199.99999999999997
43,459737725.6317279,0.03794971722719927,0.7548942880559077,Technology,US,AAA,164632221.88438138,0.0569245758407989,0.9058731456670892,296337999.3918864,13170577.75075051,0.07589943445439853,1.1323414320838616,493896665.6531441,199.99999999999994
44,940549166.6908574,0.0203086088997603,0.23030324421811277,Manufacturing,South Korea,AA,54988484.16177995,0.03046291334964045,0.2763638930617353,98979271.49120389,4399078.732942396,0.0406172177995206,0.34545486632716915,164965452.48533982,199.99999999999997
45,355592532.5149206,0.017496843745650758,0.36321511615037716,Energy and Utilities,Germany,CCC,28247906.893330168,0.026245265618476135,0.4358581393804526,50846232.40799429,2259832.5514664133,0.034993687491301516,0.5448226742255657,84743720.6799905,199.99999999999997
46,173812691.58012164,0.09149223179841962,0.5200331326002855,Technology,China,C,103372908.08339632,0.13723834769762944,0.6240397591203426,186071234.55011338,8269832.646671705,0.18298446359683923,0.7800496989004282,310118724.2501889,199.99999999999994
47,472621962.96096003,0.09081132426567559,0.6441182836247459,Services,China,C,345564840.3013836,0.13621698639851337,0.772941940349695,622016712.5424904,27645187.22411069,0.18162264853135118,0.9661774254371188,1036694520.9041508,200.0
48,652939027.1727965,0.13619656303925556,0.3368338523344946,Technology,France,CCC,374424726.566061,0.20429484455888336,0.4042006228013935,673964507.8189099,29953978.12528488,0.2723931260785111,0.5052507785017419,1123274179.6981833,200.00000000000006
49,127387745.54868735,0.08408703439411748,0.38020651268818373,Energy and Utilities,South Korea,CCC,50908025.43681076,0.12613055159117623,0.4562478152258205,91634445.78625938,4072642.034944861,0.16817406878823496,0.5703097690322756,152724076.31043229,200.0
50,122979317.25393799,0.053646119728341324,0.3167230575373368,Retail,Switzerland,CC,26119212.96583262,0.08046917959251199,0.38006766904480416,47014583.33849871,2089537.0372666097,0.10729223945668265,0.47508458630600525,78357638.89749788,200.00000000000006
51,304391196.04846066,0.028297628045042336,0.46583723259721704,Real Estate and Construction,Switzerland,B,50156396.965565525,0.042446442067563504,0.5590046791166604,90281514.53801793,4012511.757245242,0.05659525609008467,0.6987558488958255,150469190.89669657,199.99999999999997
52,907741452.2969353,0.11851997436754823,0.502607629799816,Real Estate and Construction,South Korea,A,675916124.6073618,0.17777996155132234,0.6031291557597792,1216649024.2932515,54073289.96858895,0.23703994873509646,0.7539114446997239,2027748373.8220856,200.00000000000006
53,674929247.1419698,0.051294320738545236,0.7395361824204179,Retail,Switzerland,AA,320034627.5545111,0.07694148110781786,0.8874434189045014,576062329.59812,25602770.204360887,0.10258864147709047,1.109304273630627,960103882.6635333,200.00000000000006
54,222712222.22372994,0.08165859807631928,0.6624526282627159,Retail,France,AA,150595089.6873696,0.12248789711447892,0.794943153915259,271071161.4372653,12047607.174989568,0.16331719615263857,0.9936789423940738,451785269.0621088,199.99999999999994
55,603884073.0612967,0.0133307643079368,0.629207030362377,Retail,US,BBB,63315815.53596666,0.0199961464619052,0.7550484364348524,113968467.96473998,5065265.2428773325,0.0266615286158736,0.9438105455435655,189947446.60789993,199.99999999999994
56,660579593.9781001,0.057317991172493685,0.5436018548943802,Manufacturing,France,AAA,257280610.71114275,0.08597698675874052,0.6523222258732562,463105099.2800569,20582448.85689142,0.11463598234498737,0.8154027823415703,771841832.1334283,200.00000000000006
57,523531625.2279371,0.13369053395579245,0.39714812154113655,Retail,Switzerland,BBB,347461031.8496738,0.20053580093368867,0.47657774584936385,625429857.3294128,27796882.547973905,0.2673810679115849,0.5957221823117048,1042383095.5490215,200.00000000000006
58,759623078.0767914,0.033396184709189,0.24204616418499214,Real Estate and Construction,Germany,A,76754389.6489384,0.0500942770637835,0.2904553970219906,138157901.36808908,6140351.171915072,0.066792369418378,0.3630692462774882,230263168.9468152,199.99999999999994
59,25714249.670497756,0.1356575229978512,0.35528456300430966,Banking and Financial Services,UK,AA,15491878.784560395,0.2034862844967768,0.4263414756051716,27885381.812208712,1239350.3027648316,0.2713150459957024,0.5329268445064645,46475636.353681184,199.99999999999997
60,191926109.87684956,0.17347995832559202,0.31681235541449454,Real Estate and Construction,Switzerland,CC,131854663.05097751,0.260219937488388,0.3801748264973934,237338393.49175948,10548373.044078201,0.34695991665118403,0.4752185331217418,395563989.15293247,199.99999999999994
61,966405372.6806942,0.17518009611889251,0.3367383672678023,Energy and Utilities,France,C,712601464.973296,0.26277014417833877,0.4040860407213628,1282682636.951933,57008117.19786368,0.35036019223778503,0.5051075509017035,2137804394.919888,199.99999999999994
62,498242261.7550753,0.03990521133332321,0.336064928707808,Real Estate and Construction,France,CC,83522480.33490315,0.05985781699998482,0.4032779144493696,150340464.60282564,6681798.426792252,0.07981042266664642,0.5040973930617121,250567441.00470948,200.00000000000006
63,77438283.59513561,0.09879320395965341,0.45832800892756675,Energy and Utilities,South Korea,B,43829770.828922965,0.1481898059394801,0.5499936107130801,78893587.49206133,3506381.6663138373,0.19758640791930682,0.6874920133913501,131489312.48676892,200.00000000000006
64,308871510.5277767,0.17996709483496526,0.4284289278007511,Real Estate and Construction,South Korea,AA,297686923.6417539,0.2699506422524479,0.5141147133609013,535836462.5551571,23814953.891340315,0.3599341896699305,0.6426433917011266,893060770.9252619,200.00000000000006
65,2770613.7872332856,0.14868597805919126,0.4022280575869399,Real Estate and Construction,UK,CCC,2071230.247501774,0.2230289670887869,0.48267366910432785,3728214.445503193,165698.4198001419,0.2973719561183825,0.6033420863804099,6213690.742505321,199.99999999999997
66,579834827.6437287,0.17461341191126273,0.7287425428930472,Manufacturing,China,C,922286884.5831085,0.26192011786689406,0.8744910514716566,1660116392.249595,73782950.76664868,0.34922682382252546,1.0931138143395707,2766860653.7493253,199.99999999999997
67,999478771.8494686,0.08350967234208147,0.3216424487450989,Real Estate and Construction,France,B,335578189.80884683,0.1252645085131222,0.3859709384941187,604040741.6559243,26846255.184707746,0.16701934468416293,0.4824636731176484,1006734569.4265405,200.0
68,590509398.0235502,0.10481240622532408,0.29819220331623963,Retail,Germany,BBB,230699047.92663556,0.15721860933798612,0.35783064397948755,415258286.267944,18455923.834130846,0.20962481245064815,0.44728830497435945,692097143.7799067,200.00000000000006
69,610462855.8856304,0.18007167004806782,0.24560173678196423,Services,South Korea,D,337478478.9940492,0.27010750507210174,0.29472208413835704,607461262.1892885,26998278.319523934,0.36014334009613563,0.3684026051729463,1012435436.9821476,200.0
70,328398886.11535084,0.09151260506065381,0.754916093285545,Retail,Germany,CC,283590246.81665903,0.1372689075909807,0.9058993119426539,510462444.26998615,22687219.74533272,0.18302521012130762,1.1323741399283174,850770740.4499769,199.99999999999994
71,237795513.05720702,0.13733186374158263,0.3166077827248934,Retail,Germany,CCC,129242862.69368744,0.20599779561237394,0.3799293392698721,232637152.84863734,10339429.015494995,0.27466372748316525,0.47491167408734014,387728588.0810623,200.0
72,508648415.4680792,0.09067224668160176,0.5433607910318246,Banking and Financial Services,China,A,313249496.9663349,0.13600837002240262,0.6520329492381894,563849094.5394027,25059959.757306788,0.18134449336320352,0.8150411865477368,939748490.8990046,199.99999999999994
73,899886380.810413,0.1445212312580025,0.42423069160202803,Manufacturing,China,A,689654270.8453068,0.21678184688700375,0.5090768299224336,1241377687.5215523,55172341.66762454,0.289042462516005,0.6363460374030421,2068962812.5359204,200.00000000000006
74,10741353.010586224,0.12651271499066846,0.5331798504404092,Manufacturing,China,A,9056844.414140195,0.1897690724860027,0.639815820528491,16302319.945452347,724547.5531312155,0.2530254299813369,0.7997697756606137,27170533.24242058,199.99999999999994
75,570081191.3996056,0.09390466370561251,0.5855398032322275,Retail,US,CC,391823346.7309402,0.14085699555841877,0.702647763878673,705282024.1156924,31345867.73847522,0.18780932741122502,0.8783097048483413,1175470040.1928205,199.99999999999997
76,429082560.1990482,0.11431417962568045,0.7040462178661091,Services,Germany,CC,431670281.0321541,0.17147126943852067,0.8448554614393309,777006505.8578773,34533622.482572325,0.2286283592513609,1.0560693267991637,1295010843.096462,199.99999999999994
77,621558126.6879965,0.1236482898101674,0.504357819773344,Banking and Financial Services,France,D,484527727.30191153,0.1854724347152511,0.6052293837280128,872149909.1434406,38762218.18415292,0.2472965796203348,0.7565367296600161,1453583181.9057345,199.99999999999997
78,840118068.181807,0.17702105849491045,0.39634442692363153,Services,Switzerland,AA,736797302.5458748,0.2655315877423657,0.4756133123083578,1326235144.5825746,58943784.20366999,0.3540421169898209,0.5945166403854473,2210391907.6376243,199.99999999999997
79,449594868.71399164,0.1386055258617198,0.3086479542241129,Manufacturing,China,A,240422609.47253475,0.20790828879257972,0.37037754506893544,432760697.0505625,19233808.75780278,0.2772110517234396,0.4629719313361693,721267828.4176041,199.99999999999994
80,218465098.83908495,0.1456133499037891,0.5640902128632926,Technology,US,AAA,224306488.40492544,0.21842002485568365,0.6769082554359511,403751679.1288658,17944519.072394036,0.2912266998075782,0.846135319294939,672919465.2147764,200.00000000000006
81,377230379.9442296,0.19428605246430483,0.2792026330087596,Banking and Financial Services,China,D,255786611.03246325,0.29142907869645723,0.3350431596105115,460415899.8584337,20462928.88259706,0.38857210492860966,0.4188039495131394,767359833.0973897,199.99999999999997
82,151400820.2791927,0.022855733824062772,0.7134842913839776,Real Estate and Construction,Switzerland,BB,30861556.550788775,0.034283600736094155,0.8561811496607731,55550801.79141979,2468924.524063102,0.045711467648125545,1.0702264370759664,92584669.65236633,200.0
83,85814314.99662806,0.0456465770494086,0.21667369278796672,Energy and Utilities,Germany,BB,10609237.077580858,0.0684698655741129,0.26000843134556006,19096626.739645544,848738.9662064686,0.0912931540988172,0.3250105391819501,31827711.23274258,200.00000000000009
84,376500473.05376035,0.07044323568577497,0.707179905397143,Banking and Financial Services,UK,BB,234447036.34172785,0.10566485352866245,0.8486158864765716,422004665.41511005,18755762.907338228,0.14088647137154994,1.0607698580957146,703341109.0251836,200.0
85,626072851.0618571,0.18975279529484657,0.3315479731202995,Manufacturing,UK,D,492344900.5393007,0.28462919294226985,0.3978575677443594,886220820.9707413,39387592.043144055,0.37950559058969313,0.49732195968044923,1477034701.617902,200.0
86,263572500.75146285,0.05342545489446952,0.4927147064215806,Banking and Financial Services,China,CC,86726908.17343707,0.08013818234170428,0.5912576477058967,156108434.7121867,6938152.653874965,0.10685090978893905,0.7390720596323709,260180724.52031118,199.99999999999994
87,915768475.3097252,0.11736796882789478,0.6383124217236471,Manufacturing,Switzerland,AA,857587785.7137011,0.17605195324184217,0.7659749060683765,1543658014.2846622,68607022.85709609,0.23473593765578957,0.9574686325854707,2572763357.1411037,200.00000000000006
88,689262348.1535487,0.03237461478956546,0.6705001033371742,Real Estate and Construction,France,B,187024295.30520377,0.04856192218434818,0.8046001240046091,336643731.5493668,14961943.624416301,0.06474922957913092,1.0057501550057615,561072885.9156114,200.00000000000006
89,686627139.6487974,0.06142676871164551,0.44106787357557625,Manufacturing,France,AAA,232538075.8626634,0.09214015306746827,0.5292814482906915,418568536.552794,18603046.06901307,0.12285353742329103,0.6616018103633644,697614227.5879902,200.0
90,692018974.5713813,0.062460845795441644,0.4996728553194208,Energy and Utilities,France,CC,269973808.72306335,0.09369126869316247,0.5996074263833049,485952855.70151395,21597904.697845068,0.12492169159088329,0.7495092829791312,809921426.16919,200.0
91,2682813.730214079,0.14460858995613451,0.2177435948769818,Energy and Utilities,UK,AAA,1055941.876549764,0.21691288493420177,0.26129231385237817,1900695.3777895754,84475.35012398113,0.28921717991226903,0.3266153923154727,3167825.629649292,200.0
92,813193746.662485,0.030677525567973978,0.4064156355277687,Technology,France,CC,126734477.23049161,0.04601628835196096,0.48769876263332246,228122059.0148849,10138758.178439328,0.061355051135947955,0.6096234532916531,380203431.69147485,200.00000000000006
93,917691019.3154368,0.1538270538730406,0.3569473087124334,Services,UK,BB,629858984.8966419,0.2307405808095609,0.4283367704549201,1133746172.813955,50388718.79173135,0.3076541077460812,0.5354209630686502,1889576954.689926,200.00000000000006
94,20378585.752352275,0.06767377530735504,0.43404144446619974,Services,US,CC,7482309.344211585,0.10151066296103256,0.5208497333594396,13468156.819580851,598584.7475369268,0.13534755061471007,0.6510621666992996,22446928.03263475,199.99999999999994
95,598695696.3948523,0.14935938020425932,0.3805360221917784,Energy and Utilities,France,C,425348030.472995,0.22403907030638898,0.45664322663013407,765626454.8513908,34027842.4378396,0.29871876040851864,0.5708040332876676,1276044091.418985,199.99999999999997
96,676899194.3573512,0.07964661192870781,0.2958438821900604,Energy and Utilities,Germany,BB,199371882.3452764,0.11946991789306172,0.35501265862807246,358869388.22149736,15949750.58762211,0.15929322385741562,0.4437658232850906,598115647.0358291,199.99999999999997
97,197046338.368392,0.0910162011569679,0.7650381910387003,Energy and Utilities,US,CC,171506349.36129445,0.13652430173545185,0.9180458292464403,308711428.85032994,13720507.948903555,0.1820324023139358,1.1475572865580506,514519048.08388335,200.0
98,838373051.7362915,0.03390784438172048,0.4575673006110932,Real Estate and Construction,UK,AAA,162593239.9084327,0.05086176657258072,0.5490807607333118,292667831.8351788,13007459.192674614,0.06781568876344096,0.6863509509166398,487779719.72529805,199.99999999999994
99,626205582.8747993,0.030299962818152497,0.5826816272259911,Manufacturing,Switzerland,B,138197557.74713248,0.04544994422722874,0.6992179526711894,248755603.94483837,11055804.619770598,0.060599925636304994,0.8740224408389867,414592673.24139744,200.0
100,225830018.25617474,0.11294994968536896,0.7560566817182686,Real Estate and Construction,Germany,AAA,241063845.5390512,0.16942492452805344,0.9072680180619223,433914921.9702922,19285107.643124096,0.22589989937073793,1.1340850225774028,723191536.6171536,200.00000000000006
101,967222926.6008357,0.13104332915314232,0.5434842889101401,Retail,Switzerland,CCC,861070096.2887539,0.19656499372971348,0.6521811466921681,1549926173.3197572,68885607.70310031,0.26208665830628464,0.8152264333652102,2583210288.866262,200.00000000000006
102,216649759.04934612,0.027504827362287945,0.2761994990299531,Banking and Financial Services,UK,CC,20573114.031613357,0.04125724104343192,0.3314393988359437,37031605.25690404,1645849.1225290687,0.05500965472457589,0.41429924854492967,61719342.09484007,200.0
103,678909219.1262584,0.03649212631979552,0.6731488141145411,Real Estate and Construction,China,BBB,208464435.35344446,0.054738189479693285,0.8077785769374493,375235983.6362001,16677154.828275558,0.07298425263959105,1.0097232211718117,625393306.0603335,200.00000000000006
104,474415889.0810634,0.016164122694458827,0.6647984431843779,Energy and Utilities,Germany,C,63725224.04181054,0.02424618404168824,0.7977581318212534,114705403.27525896,5098017.923344843,0.032328245388917654,0.9971976647765668,191175672.1254316,199.99999999999994
105,723561537.73658,0.040857652593752125,0.44276584429898586,Technology,South Korea,A,163618726.7491608,0.06128647889062819,0.531319013158783,294513708.1484894,13089498.139932863,0.08171530518750425,0.6641487664484788,490856180.24748236,199.99999999999994
106,98661364.79661411,0.052289728966027973,0.5236361748209091,Technology,South Korea,A,33767830.89414745,0.07843459344904197,0.6283634097850909,60782095.609465405,2701426.471531796,0.10457945793205595,0.7854542622313636,101303492.68244234,199.99999999999994
107,952592710.2778208,0.14123358813607598,0.4549316028016467,Services,France,A,765070341.6437254,0.21185038220411395,0.545917923361976,1377126614.9587054,61205627.331498034,0.28246717627215195,0.6823974042024701,2295211024.931176,200.0
108,205284541.77710357,0.022390782971158887,0.33454667232189705,Technology,South Korea,CCC,19221720.388968576,0.03358617445673833,0.40145600678627646,34599096.700143434,1537737.6311174862,0.044781565942317775,0.5018200084828456,57665161.16690573,200.00000000000006
109,221163555.29751596,0.1406072367359764,0.6577530264846077,Services,South Korea,C,255678437.90269786,0.21091085510396457,0.7893036317815292,460221188.2248561,20454275.03221583,0.2812144734719528,0.9866295397269115,767035313.7080935,199.99999999999997
110,554474506.9567416,0.08703140999575341,0.6466610157797956,Energy and Utilities,UK,BBB,390071568.02515036,0.13054711499363011,0.7759932189357547,702128822.4452705,31205725.44201203,0.17406281999150683,0.9699915236696934,1170214704.075451,199.99999999999997
111,350383530.1574501,0.037161207431524505,0.5882335351484358,Retail,Switzerland,A,95739971.395057,0.055741811147286754,0.705880242178123,172331948.5111026,7659197.711604559,0.07432241486304901,0.8823503027226537,287219914.18517095,199.99999999999997
112,442687555.96556836,0.19664254292350028,0.4733842943323143,Manufacturing,South Korea,AA,515108425.83252954,0.29496381438525043,0.5680611531987771,927195166.4985532,41208674.066602364,0.39328508584700056,0.7100764414984715,1545325277.4975886,200.0
113,38061398.0297093,0.10581111419575975,0.47888361960719616,Services,US,AA,24107713.35157122,0.15871667129363964,0.5746603435286354,43393884.03282819,1928617.0681256976,0.2116222283915195,0.7183254294107942,72323140.05471365,199.99999999999997
114,235649560.75542682,0.06589501273065458,0.37906630905657224,Services,Switzerland,A,73577390.38949856,0.09884251909598188,0.45487957086788666,132439302.70109743,5886191.231159885,0.13179002546130916,0.5685994635848584,220732171.16849566,199.99999999999994
115,773759583.625145,0.020545982573366445,0.35943475433134175,Real Estate and Construction,Germany,A,71427103.1660561,0.03081897386004967,0.4313217051976101,128568785.698901,5714168.253284488,0.04109196514673289,0.5391521314970127,214281309.4981683,200.0
116,902312938.8714408,0.0697211123777211,0.7093828380932072,Technology,China,A,557843250.8577809,0.10458166856658166,0.8512594057118487,1004117851.5440056,44627460.06862247,0.1394422247554422,1.064074257139811,1673529752.573343,200.00000000000006
117,234243965.49542344,0.12636668394549577,0.7156245334482794,Manufacturing,South Korea,AAA,264786741.13166508,0.18955002591824366,0.8587494401379352,476616134.03699714,21182939.290533207,0.25273336789099154,1.073436800172419,794360223.3949953,200.00000000000006
